Hafta;dondurma;sýcak çikolata
20.12.2020;47;3
27.12.2020;48;3
3.01.2021;48;2
10.01.2021;50;3
17.01.2021;45;3
24.01.2021;46;2
31.01.2021;46;2
7.02.2021;49;3
14.02.2021;48;4
21.02.2021;51;2
28.02.2021;50;2
7.03.2021;47;2
14.03.2021;51;2
21.03.2021;46;2
28.03.2021;50;1
4.04.2021;56;1
11.04.2021;59;1
18.04.2021;63;1
25.04.2021;69;1
2.05.2021;82;1
9.05.2021;80;1
16.05.2021;83;1
23.05.2021;93;1
30.05.2021;78;1
6.06.2021;82;1
13.06.2021;73;1
20.06.2021;83;1
27.06.2021;88;1
4.07.2021;82;1
11.07.2021;92;1
18.07.2021;99;0
25.07.2021;81;1
1.08.2021;86;1
8.08.2021;82;1
15.08.2021;74;1
22.08.2021;75;1
29.08.2021;64;1
5.09.2021;61;1
12.09.2021;53;1
19.09.2021;50;1
26.09.2021;46;1
3.10.2021;43;1
10.10.2021;40;1
17.10.2021;39;1
24.10.2021;41;2
31.10.2021;39;2
7.11.2021;40;2
14.11.2021;41;2
21.11.2021;36;2
28.11.2021;36;2
5.12.2021;36;2
12.12.2021;34;2
19.12.2021;30;2
26.12.2021;38;3
2.01.2022;38;2
9.01.2022;38;2
16.01.2022;37;3
23.01.2022;43;4
30.01.2022;46;3
6.02.2022;46;2
13.02.2022;48;2
20.02.2022;48;2
27.02.2022;43;2
6.03.2022;40;2
13.03.2022;43;2
20.03.2022;47;2
27.03.2022;62;1
3.04.2022;66;1
10.04.2022;67;1
17.04.2022;62;1
24.04.2022;67;1
1.05.2022;73;1
8.05.2022;81;1
15.05.2022;81;1
22.05.2022;87;1
29.05.2022;96;1
5.06.2022;86;1
12.06.2022;85;1
19.06.2022;90;1
26.06.2022;85;1
3.07.2022;88;1
10.07.2022;95;1
17.07.2022;89;1
24.07.2022;89;1
31.07.2022;87;1
7.08.2022;82;1
14.08.2022;84;1
21.08.2022;79;1
28.08.2022;77;1
4.09.2022;63;1
11.09.2022;58;1
18.09.2022;52;1
25.09.2022;54;1
2.10.2022;45;1
9.10.2022;46;1
16.10.2022;42;1
23.10.2022;43;1
30.10.2022;48;2
6.11.2022;41;2
13.11.2022;41;2
20.11.2022;41;2
27.11.2022;40;2
4.12.2022;40;2
11.12.2022;40;2
18.12.2022;41;3
25.12.2022;39;3
1.01.2023;43;2
8.01.2023;39;2
15.01.2023;42;2
22.01.2023;46;2
29.01.2023;42;3
5.02.2023;33;2
12.02.2023;46;2
19.02.2023;47;2
26.02.2023;46;1
5.03.2023;47;1
12.03.2023;47;1
19.03.2023;47;1
26.03.2023;51;1
2.04.2023;48;1
9.04.2023;46;1
16.04.2023;55;1
23.04.2023;58;1
30.04.2023;66;1
7.05.2023;63;1
14.05.2023;69;1
21.05.2023;73;1
28.05.2023;72;1
4.06.2023;73;1
11.06.2023;78;1
18.06.2023;81;1
25.06.2023;99;1
2.07.2023;100;1
9.07.2023;87;1
16.07.2023;88;1
23.07.2023;88;1
30.07.2023;87;1
6.08.2023;88;1
13.08.2023;79;1
20.08.2023;77;1
27.08.2023;73;1
3.09.2023;64;1
10.09.2023;55;1
17.09.2023;52;1
24.09.2023;49;1
1.10.2023;44;1
8.10.2023;44;1
15.10.2023;40;1
22.10.2023;39;1
29.10.2023;37;1
5.11.2023;37;1
12.11.2023;38;2
19.11.2023;34;2
26.11.2023;33;3
3.12.2023;35;3
10.12.2023;37;3
17.12.2023;33;3
24.12.2023;33;3
31.12.2023;35;2
7.01.2024;32;3
14.01.2024;33;3
21.01.2024;33;3
28.01.2024;31;2
4.02.2024;34;2
11.02.2024;31;2
18.02.2024;34;2
25.02.2024;33;1
3.03.2024;34;1
10.03.2024;34;1
17.03.2024;36;1
24.03.2024;38;1
31.03.2024;46;1
7.04.2024;53;1
14.04.2024;61;1
21.04.2024;65;1
28.04.2024;57;1
5.05.2024;57;1
12.05.2024;54;1
19.05.2024;58;1
26.05.2024;64;1
2.06.2024;85;1
9.06.2024;85;1
16.06.2024;90;0
23.06.2024;82;0
30.06.2024;71;0
7.07.2024;79;1
14.07.2024;77;0
21.07.2024;78;1
28.07.2024;65;1
4.08.2024;61;0
11.08.2024;65;1
18.08.2024;63;1
25.08.2024;54;1
1.09.2024;48;1
8.09.2024;44;1
15.09.2024;37;1
22.09.2024;35;1
29.09.2024;32;1
6.10.2024;34;1
13.10.2024;29;1
20.10.2024;26;1
27.10.2024;28;2
3.11.2024;25;2
10.11.2024;26;2
17.11.2024;25;3
24.11.2024;23;4
1.12.2024;25;3
8.12.2024;23;3
15.12.2024;25;3
22.12.2024;24;4
29.12.2024;25;2
5.01.2025;26;2
12.01.2025;26;2
19.01.2025;28;2
26.01.2025;36;2
2.02.2025;29;3
9.02.2025;31;2
16.02.2025;30;3
23.02.2025;33;2
2.03.2025;35;1
9.03.2025;47;1
16.03.2025;39;1
23.03.2025;36;1
30.03.2025;42;1
6.04.2025;37;1
13.04.2025;46;1
20.04.2025;51;1
27.04.2025;43;1
4.05.2025;53;1
11.05.2025;52;1
18.05.2025;70;1
25.05.2025;65;0
1.06.2025;68;1
8.06.2025;71;0
15.06.2025;69;1
22.06.2025;78;0
29.06.2025;71;1
6.07.2025;74;1
13.07.2025;75;1
20.07.2025;78;0
27.07.2025;71;1
3.08.2025;68;1
10.08.2025;61;1
17.08.2025;58;1
24.08.2025;45;1
31.08.2025;45;1
7.09.2025;34;0
14.09.2025;33;1
21.09.2025;30;1
28.09.2025;25;1
5.10.2025;27;2
12.10.2025;24;2
19.10.2025;22;2
26.10.2025;22;1
2.11.2025;26;1
9.11.2025;27;2
16.11.2025;23;2
23.11.2025;22;2
30.11.2025;20;3
7.12.2025;21;3
14.12.2025;21;4
21.12.2025;19;4
